Model;Kemer Bağlantı Noktası_x;Kemer Bağlantı Noktası_y;Kemer Bağlantı Noktası_z;H-Point_x;H-Point_y;H-Point_z;delta kemer bağlantı ve H point X;delta kemer bağlantı ve H point Y;delta kemer bağlantı ve H point Z
Dacia Sandero Expression Stepway 2022;1559,6;-587,4;1008,1;1348,67;-333,35;370,05;210,93;-254,05;638,05
DS 3 Crossback 1.2 Puretech SoChic 2019;1563,2;-591,1;985,9;1345,61;-334,7;342,01;217,59;-256,4;643,89
DS 9 E-TENSE 4x4 360 RIVOLI + 2022;1641,1;-652,7;944;1334,59;-364,15;322,15;306,51;-288,55;621,85
Geely Galaxy E5 Starship 2024;1631,5;-664,9;1102,1;1367;-370,84;462,3;264,5;-294,06;639,8
Jaguar I-Pace EV 400 First Edition 2018;1779,9;-642,9;1035,4;1501,43;-379,66;439,93;278,47;-263,24;595,47
Jeep Avenger 1st Edition 2023;1558,1;-601,9;991,3;1344,44;-330,17;351,31;213,66;-271,73;639,99
Land Rover Range Rover Evoque P300E S 2021;1636,1;-635,1;1051,9;1431,74;-373,78;449,3;204,36;-261,32;602,6
Mercedes A-Class 200 AMG Line 2018;1684,3;-615,3;940,2;1455;-352,47;329,97;229,3;-262,83;610,23
Mercedes A-Class A250e AMG Line 2020;1691,7;-616,5;940,7;1453,46;-357,98;335,17;238,24;-258,52;605,53
MG 4 / Mulan Luxury 2022;1601,1;-633,7;1027;1407,27;-350,92;407,29;193,83;-282,78;619,71
Opel Ampera-e 2017;1556,3;-604,1;1100,3;1337,23;-327,06;455,96;219,07;-277,04;644,34
Peugeot 208 1.2 Puretech GT Line 2019;1557,4;-592,6;985,8;1348,74;-343,78;337,52;208,66;-248,82;648,28
Peugeot 208 e GT 2020;1556,3;-593,8;986,6;1349,7;-340,13;339,35;206,6;-253,67;647,25
Peugeot 308 1.2 Puretech Allure 2022;1640,4;-635,5;958,9;1370,45;-352,63;337,56;269,95;-282,87;621,34
Peugeot 508 1.6 Puretech GT 2018;1658,7;-638,3;940,5;1395,96;-365,43;318,21;262,74;-272,87;622,29
Renault 5 Iconic Cinq Confort 2025;1577,2;-591,2;1029;1353,72;-332,97;397,33;223,48;-258,23;631,67
SEAT Arona 1.0 TSi Style 2018;1549,1;-609,6;940,2;1367,47;-339,87;321,89;181,63;-269,73;618,31
Suzuki Jimny 1.5 Avantage 2019;1738,2;-590,1;977,5;1406,98;-321,7;393,01;331,22;-268,4;584,49
Toyota Yaris 1.5 Hybrid Iconic 2020;1552,7;-610,8;962,8;1355,44;-335,85;367,35;197,26;-274,95;595,45
Toyota Yaris Cross 1.5 116h AWD-i Premiere 2021;1563,9;-618,4;972,7;1359,31;-337,78;370,65;204,59;-280,62;602,05
Volkswagen ID.3 1st Max 2020;1683,4;-636,3;1035,2;1452,72;-342,49;430,29;230,68;-293,81;604,91
BMW 1 Series 118i Advantage 2019;1684,7;-621,6;983,5;1433,82;-353,39;342,49;250,88;-268,21;641,01
BMW 3 Series 330e Business Plus 2020;1853,6;-630,5;956,7;1594,16;-375,74;337,12;259,44;-254,76;619,58
BMW iX3 RWD Impressive 2021;1856,2;-638,4;1061,7;1605,65;-379,41;457,52;250,55;-258,99;604,18
BMW X1 Xdrive 23i 2022;1666,8;-629,2;1085,6;1391,85;-353,71;419,75;274,95;-275,49;665,85
BMW iX1 xDrive30 Premium 2023;1670,7;-632;1089;1356,79;-355,05;424,47;313,91;-276,95;664,53
BMW i5 eDrive40 2023;1898,8;-662,6;1022,5;1612,85;-403,52;404,95;285,95;-259,08;617,55
BMW i7 xDrive60 Individual 2023;1904,9;-684;1058,6;1611,19;-402,78;419,2;293,71;-281,22;639,4
BYD Dolphin Design 2024;1602,1;-619,3;1041,3;1388,2;-345,69;414,1;213,9;-273,61;627,2
BYD Seagull Fly 2023;1511,6;-595,4;1063,2;1311,51;-330,42;453,5;200,09;-264,98;609,7
Citroen C5 X PHEV Shine Pack 2022;1640,7;-630;956,1;1375,26;-354,49;332,21;265,44;-275,51;623,89
DS 4 E-TENSE 225 RIVOLI 2022;1630,4;-627,2;951,4;1375,63;-355,2;326,21;254,77;-272;625,19
Opel Mokka e Ultimate 2021;1563,5;-588,6;984,5;1353,8;-334,38;347,55;209,7;-254,22;636,95
Peugeot 3008 e GT 2024;1642,7;-634,4;1089,7;1388,75;-370,1;448,19;253,95;-264,3;641,51
BMW iX xDrive50 Sport 2022;1873,8;-679,4;1118,1;1612,31;-395,37;517,21;261,49;-284,03;600,89
BMW X1 25e xDrive Advantage 2021;1650,4;-631,8;1102,3;1418,5;-350,87;420,64;231,9;-280,93;681,66
BMW X1 sDrive 18d 2016;1650,25;-629,79;1102,72;1419,5;-352,03;422,73;230,75;-277,76;679,99
BMW X3 xDrive 20d 2017;1855,2;-637,4;1063;1623,25;-380,93;452,39;231,95;-256,47;610,61
BMW 3 Series 320d 2019;1851,5;-632,6;949,4;1599,72;-372,86;326,15;251,78;-259,74;623,25
BMW 5 Series 530e iPerformance 2017;1888,8;-656,6;969;1636,61;-397,59;340,85;252,19;-259,01;628,15
Alfa Romeo Giulia 2.0 Veloce Q4 2017;1816,8;-632,1;912,1;1572,78;-370,4;334,16;244,02;-261,7;577,94
BYD Dolphin Flagship 2021;1606,5;-620,3;1042,9;1373,66;-348,49;410,98;232,84;-271,81;631,92
BYD e2 High Range Luxury 2019;1512,7;-614,1;1022,9;1308,15;-346,19;391,14;204,55;-267,91;631,76
Chery EQ5 pro 2021;1624;-671,5;1059,2;1364,87;-374,42;448,4;259,13;-297,08;610,8
Citroen C3 ë YOU 2024;1552,6;-595,5;1021,9;1307,22;-334,09;412,38;245,38;-261,41;609,52
Dacia Duster 1.2 TCe Essentiel 2018;1565,3;-584,3;1005,8;1346,2;-332,28;382,37;219,1;-252,02;623,43
